Episode Number,Episode Name,Episode Runtime,Episode Length
164,229: ‘iPhone 🍸’ With Rene Ritchie,01:51:06,6666
165,228: ‘Smallen Up the Bezels’ With Jason Snell,02:36:30,9390
166,227: ‘Little Q&A’,01:39:12,5952
167,226: ‘Cut That Mustache With Scissors’ With Marco Arment,02:51:02,10262
168,225: ‘Resources Up the Yang’ With Matthew Panzarino,01:42:30,6150
169,"224: ‘AirPower, What’s That?’ With Serenity Caldwell",02:08:51,7731
170,223: Live From WWDC 2018 With Greg Joswiak and Mike Rockwell,01:20:28,4828
171,222: ‘Pseudorandom Gibberish’ With Rene Ritchie,01:32:32,5552
172,221: ‘Slathered in Incompetence’ With Ben Thompson,03:07:18,11238
173,220: ‘$270 Worth of Unneeded Keyboards’ With Jim Dalrymple,01:58:59,7139
174,219: ‘Top Men’ With Matthew Panzarino,02:13:48,8028
175,218: ‘Spending Tim Cook’s Money’ With Serenity Caldwell,01:55:38,6938
176,217: ‘Our Name Is Our Address’ With Jason Kottke,02:19:11,8351
177,216: ‘Podcast Amnesia’ With Jason Snell,02:31:09,9069
178,215: ‘The “Press Real Hard” Era’ With Marco Arment,03:53:44,14024
179,214: ‘Only Wireless. Less Smart Than an Echo. Lame.’ With Paul Kafasis,02:10:15,7815
180,213: ‘Don’t Tap the Monkey’ With John Moltz,01:22:32,4952
181,212: ‘Arbiter of Finallys’ With Rene Ritchie,02:27:52,8872
182,211: ‘Star Wars: The Last Jedi’ Holiday Spectacular With Special Guests Guy English and John Siracusa,02:55:16,10516
183,210: ‘Australian Battery Scam’ With Jason Snell,02:24:22,8662
184,209: ‘Blaming a Platypus’ With Matthew Panzarino,02:07:04,7624
185,208: ‘Disgusting Inception’ With John Moltz,01:33:41,5621
186,207: ‘Christmas Mitzvah’ With Merlin Mann,02:24:06,8646
187,206: ‘Bed Is Where My Problems Are’ With Ben Thompson,02:13:14,7994
188,205: ‘If You Trust Your Twin’ With Jim Dalrymple,01:39:57,5997
189,204: ‘Flaunting That Notch’ With Rene Ritchie,01:43:44,6224
190,203: ‘Unused VIPs’ With Serenity Caldwell,02:02:01,7321
191,202: ‘You Tell Me If It’s a Dongle’ With Joanna Stern,01:37:30,5850
192,201: ‘Much More Smarter’ With Matthew Panzarino,03:02:28,10948
193,200: ‘Episode CC’ With Craig Federighi,00:30:10,1810
194,199: ‘Under Rumored’ With Jim Dalrymple,02:27:13,8833
195,198: ‘Prison Oreos’ With Jason Snell,02:40:04,9604
196,197: ‘Nancy Reagan Was Right’ With Glenn Fleishman,02:39:13,9553
197,"196: ‘Actually, You Can Buy a Better Coke’ With Rene Ritchie",02:06:52,7612
198,195: ‘I Do Like Throwing a Baby’ With John Moltz,01:53:39,6819
199,194: ‘Egg Freckles’ With Serenity Caldwell,02:06:09,7569
200,193: ‘Crack Marketing Team’ — Live From WWDC 2017 With Phil Schiller and Craig Federighi,01:31:46,5506
201,192: ‘The Original Sin Is XML’ With Special Guests Manton Reece and Brent Simmons,01:58:52,7132
202,191: ‘He Ends Up Fighting Hervé Villechaize’ With Jim Dalrymple,02:25:22,8722
203,190: ‘Anything Luxury’ With Ben Thompson,03:22:16,12136
204,189: ‘Long Press on the French Fries’ With Rene Ritchie,02:14:13,8053
205,188: ‘Apple VP Lisa Jackson’,00:56:25,3385
206,187: ‘Forget About Frodo and Sam’ With MG Siegler,02:26:33,8793
207,"186: ‘Good News, My House Burned Down’ With Matthew Panzarino",02:03:33,7413
208,185: ‘Warmest Regards’ With Dan Frommer,02:21:40,8500
209,184: ‘Hubbo Is in Decline’ With Merlin Mann,01:34:06,5646
210,183: ‘A Very Masculine Bark’ With Serenity Caldwell,02:06:51,7611
211,182: ‘AAA Podcast’ With Marco Arment,02:39:58,9598
212,181: ‘Corporate Stiffy’ With John Moltz,01:40:37,6037
213,180: ‘Yay or Nay to Their POV’ With Matthew Panzarino,01:48:53,6533
214,179: ‘iPhone Is the New Hitler’ With Ben Thompson,02:14:29,8069
215,178: ‘Now Banned in China’ With Jim Dalrymple,02:08:29,7709
216,177: ‘Surface Curious’ With Rene Ritchie,02:02:19,7339
217,176: ‘Frolic’ With Craig Hockenberry,02:02:26,7346
218,175: ‘Uncle Joe’s Bathtub Gin’ With Glenn Fleishman,01:58:44,7124
219,174: ‘Election Escape Key’ With Joanna Stern,02:01:50,7310
220,173: ‘Fork the Universe’ With Jason Snell,02:41:03,9663
221,172: ‘Holiday Party’ With Merlin Mann,02:07:03,7623
222,171: ‘Prisoner’s Dilemma Multitasking’ With John Moltz,02:06:01,7561
223,170: ‘Kicking Dirt on Them While They’re on Fire’ With Ben Thompson,02:51:19,10279
224,169: ‘A Murder of Eeros’ With Matthew Panzarino,01:59:00,7140
225,168: ‘You’ve Got the Nubbin’ With Serenity Caldwell,02:35:10,9310
226,167: ‘Hey Bruh You Bumped Muh Hat’ With Jim Dalrymple,02:27:20,8840
227,166: ‘Way of the Future’ With Rene Ritchie,01:51:47,6707
228,165: ‘I Do Feel the Pea’ With Guy English,02:08:27,7707
229,164: ‘Enjoyably Clicky’ With Jason Snell,02:24:24,8664
230,163: ‘Low Grade Scam’ With Joanna Stern,01:25:28,5128
231,162: ‘Special Bullying Venue’ With Glenn Fleishman,02:38:40,9520
232,161: ‘Mumbles and Grunts’ With John Moltz,02:06:01,7561
233,160: ‘Fresh Out of Prison’ With Nilay Patel,01:47:10,6430
234,159: ‘Phil Z’ With Marco Arment,02:44:50,9890
235,158: Live From WWDC 2016 With Guests Phil Schiller and Craig Federighi,01:18:05,4685
236,157: ‘A Nokia Phone and Some Pills (WWDC Prelude)’ With Dan Frommer,02:24:52,8692
237,"156: ‘Yo, Dingus’ With Merlin Mann",01:58:35,7115
238,155: ‘Medium Rare MacBook’ With MG Siegler,02:22:50,8570
239,154: ‘Facebook on Your Face’ With Rene Ritchie,02:11:33,7893
240,153: ‘Chock Full of Whimsy’ With Ben Thompson,02:58:42,10722
241,152: ‘The Greatest Mic Drop I’ve Ever Seen’ With Guy English,02:44:14,9854
242,151: ‘Option P’ With Serenity Caldwell,02:09:28,7768
243,150: ‘Strict Robot Definer’ With Jason Snell,02:51:13,10273
244,149: ‘With Apologies to Hamilton’ With Glenn Fleishman,02:19:08,8348
245,148: ‘Occupy Portland’ With John Moltz,02:20:55,8455
246,147: ‘iTools or Whatever’ With Jim Dalrymple,01:58:47,7127
247,146: ‘“They Might Be Giants” With a Spanish Accent’ With Special Guests Eddy Cue and Craig Federighi,00:56:35,3395
248,145: ‘Anthropomorphic Human Bowel’ With Ben Thompson,01:49:35,6575
249,144: ‘Hopped Up on Holiday Juice’ With Matthew Panzarino,02:14:28,8068
250,143: ‘A Squirrel Eating a Duck’ With Merlin Mann,02:48:17,10097
251,142: ‘They Sherlocked F.lux’ With Dan Frommer,02:13:23,8003
252,"141: ‘Star Wars: The Force Awakens’ Holiday Spectacular With Special Guests Guy English, Amy Jane Gruber, and More",02:29:06,8946
253,140: ‘Apple’s 2015 Year in Review’ With Rene Ritchie,03:07:33,11253
254,139: ‘How Many Fingers Should This Baby Have?’ With Special Guests Craig Federighi and John Siracusa,03:20:33,12033
255,138: ‘I’ve Been Using Mine More in Bed’ With Joanna Stern,02:19:11,8351
256,137: ‘Peak Rumor Season’ With John Moltz,01:46:14,6374
257,136: ‘Fully Charged Pencil’ With Jason Snell,02:13:55,8035
258,135: ‘Put a Nipple on It’ With Adam Lisagor,02:34:53,9293
259,134: ‘Field Sobriety Test’ With Guy English,02:29:02,8942
260,133: ‘The MacGuffin Tractor’ With Serenity Caldwell,02:33:05,9185
261,"132: ‘Peace, Porn, and Privacy’ With Guest Marco Arment",03:14:22,11662
262,131: ‘If Only the Death Star Had That’ With Guest Rene Ritchie,02:39:02,9542
263,130: ‘A Full Canseco’ With Guest John Moltz,02:40:02,9602
264,129: ‘90 Minutes or Bust’ With Guest Ben Thompson,01:56:00,6960
265,128: ‘Did You Ever Take a Photograph?’ With Guest Matthew Panzarino,02:26:17,8777
266,127: ‘A Sack Full of Plucked Feathers’ With Guest John Moltz,01:59:46,7186
267,126: ‘Tommy Got Made’ With Guest Jason Snell,02:53:03,10383
268,125: ‘They Buy a Hole in the Wall’ With Guest Horace Dediu,01:56:26,6986
269,124: ‘Schiller Did Not Have to Put Up With This Bullshit’ With Guest Guy English,02:19:03,8343
270,123: Live From WWDC 2015 With Guest Phil Schiller,01:08:38,4118
271,122: ‘Everyone Needs a Jerk’ With Guest Mark Gurman,02:22:21,8541
272,121: ‘He Was Sort of Anti-Golf’ With Guest Rene Ritchie,02:18:09,8289
273,120: ‘The Move to Frisco’ With Guest Dan Frommer,02:18:13,8293
274,119: ‘Workin’ in Pajamas’ With Guest David Sparks,02:32:45,9165
275,118: ‘Sloppy on the Side’ With Guest Adam Lisagor,02:12:28,7948
276,117: ‘I Touched Ron Johnson’ With Guest John Moltz,02:32:47,9167
277,116: ‘Browser Pooped on the Wee-Wee Pad’ With Guest Joanna Stern,02:34:01,9241
278,115: ‘Turd on the Front Porch’ With Guest Ben Thompson,02:34:16,9256
279,114: ‘All of Us Assholes in Journalism’ With Guest Serenity Caldwell,02:19:58,8398
280,113: ‘A Tube of Lubricant for Your Life’ With Guest Matthew Panzarino,02:57:14,10634
281,112: ‘Retina Quality’ With Guest Paul Kafasis,02:22:15,8535
282,111: ‘12 Hours a Day’ With Guest John Moltz,01:59:02,7142
283,110: ‘Rats in the Lobby’ With Guest Merlin Mann,02:08:45,7725
284,109: ‘How Many Keys?’ With Guest MG Siegler,01:53:37,6817
285,108: ‘Malaprops’ With Guest Ben Thompson,03:10:33,11433
286,107: ‘Now It’s All Floppy’ With Guest Marco Arment,03:04:49,11089
287,106: ‘Star Wars Holiday Spectacular’ With Guests John Siracusa and Guy English,03:44:53,13493
288,105: ‘George Lucas Called’ With Guest Jason Snell,02:17:04,8224
289,104: ‘2014 Year in Review’ With Guest Rene Ritchie,02:18:14,8294
290,103: ‘Robotitize the Assembly’ With Guest Dan Frommer,01:55:20,6920
291,102: ‘Maybe You Don’t Take an Apprentice’ With Dave Wiskus,02:56:34,10594
292,101: ‘Like a Butt Crack’ With Christa Mrgan,01:29:57,5397
293,100: ‘People Are Gay All the Time’ With John Moltz,02:26:59,8819
294,XCIX: ‘The Smoker Channels’ With Merlin Mann,02:39:15,9555
295,98: ‘Far Less Eloquent as You’ With John Siracusa,03:04:33,11073
296,97: ‘Copious Software Projects’ With Guy English,02:45:20,9920
297,96: ‘The Edition Edition’ With Ben ‘Bengate’ Thompson,02:50:10,10210
298,95: ‘Twenty-One Thousand Words’ With Rene Ritchie,01:55:44,6944
299,94: ‘Very Few Outhouses Anymore’ With Jason Snell,02:26:12,8772
300,93: ‘Toner-Perfect Design’ With Craig Hockenberry,02:23:53,8633
301,92: ‘That New Laptop Smell’ With Joanna Stern,01:54:45,6885
302,91: ‘BlackBerry Is Still Technically in Business’ With Dan Frommer,02:17:18,8238
303,90: ‘Jamming More RAM in for Free’ With John Moltz,01:59:54,7194
304,89: ‘Cat Pictures’ With Marco Arment (Side 2),01:39:23,5963
305,88: ‘Cat Pictures’ With Marco Arment (Side 1),01:45:30,6330
306,87: ‘Free Alcoholic Beverages’ With Ben Thompson,02:03:46,7426
307,86: ‘Diddling Your Feeds’ With Dave Wiskus,02:27:02,8822
308,"85: ‘Oh Man, Soccer’ With Paul Kafasis",01:52:20,6740
309,84: ‘Doctoring the Ball’ With Guy English,01:51:58,6718
310,"83: Live From WWDC 2014 With Marco Arment, Casey Liss, John Siracusa, and Scott Simpson",01:48:58,6538
311,82: ‘We're Allowed to Make Stuff Up; It's a Podcast’ With Dan Frommer,01:50:15,6615
312,81: ‘Bring Back Jerry Yang’ With John Moltz,1:34:47,5687
